0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:27:31 +0530] "GET /e-canvass/jsp/security.jsp HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:33:07 +0530] "GET /e-canvass/jsp/security.jsp HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:33:09 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:33:12 +0530] "GET /e-canvass/jsp/security.jsp HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:33:17 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:07 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:50:09 +0530] "GET /e-canvass/jsp/security.jsp?68055924 HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/jsp/security.jsp?68055924 HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:23 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:25 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:27 +0530] "GET /e-canvass/jsp/security.jsp?68055924 HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/jsp/security.jsp?68055924 HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
